"","slope","intercept","R^2","F-value","P-value"
"la_ju_in",0.326813119427033,-2.91188875381297,0.125577629410638,4.3083628793485,0.0465944025225441
"ad_pi",0.267177668689178,0.0318511345032359,0.0762549666793185,1460.9663398559,3.21527852235886e-307
"ju_pi",0.320305341851022,-3.4998448036929,0.0715818776775239,233.384440178564,8.16786748033392e-51
"la_ju_pi",0.769596001490085,-6.61800201661676,0.502262057547569,9.08180416316189,0.0146301686798565
"po_pi",0.364976879466728,-2.54230659086812,0.038969869305227,1.25705314524184,0.270820006991042
"po_ju_pi",6.67938878953098e-15,-4.67881672615639,NA,NA,NA
"ad_pl",0.279284726159456,-2.21505430133383,0.224199133583999,45.0825287172977,3.31771921399374e-10
"ju_pl",5.9202640996057,-15.4721526810541,1,NA,NA
"la_pl",0.429300780145072,-11.52564753213,0.0876722735852074,98.3075854003914,3.45409437932517e-22
"la_ju_pl",0.44333440915417,-13.3396852081401,0.238309967898901,36.9186611704771,1.55071505486174e-08
"po_ju_pl",0.342332690474932,-12.9906667421733,0.231238785388307,78.808036384013,1.10590667174302e-16
"ad_pr",0.453824929741928,-3.53006944469056,0.146129065719436,1356.94671825976,2.36661210564791e-274
"ju_pr",0.674632885120291,-7.02650689627774,0.628987013196308,3560.17922469958,0
"la_pr",0.352724395707421,-12.1901368632752,0.114146688218641,155.914631584789,9.61358023701214e-34
"la_ju_pr",0.827241750392705,-9.50344667100187,0.423997091277262,357.009636853166,4.43552228318504e-60
"po_pr",0.708962574252358,-2.70375853370094,0.109207422360889,8.58170550266893,0.00458060708606845
"po_ju_pr",0.681167147143139,-12.1148350317328,0.14416882005629,99.0513879135297,1.13623625843003e-21
"ad_pr_pi",0.642440146796948,-1.4848950114527,0.34115409853576,82.3310906945516,4.19117303972449e-16
